date,category,name,ticker,units,nav_at_purchase,current_nav
27-10-2025,FixedDeposit,Kotak FD,Kotak FD,500000,1,1
27-10-2025,FixedDeposit,ProvidentFund,ProvidentFund,4000000,1,1
01-10-2023,Crypto,Bitcoin,BTC-USD,0.00754648,2574454.08,10105933.45
09-10-2023,Crypto,XRP,XRP-USD,206.69,41.1290964,233.3399293
09-10-2023,Crypto,BNB,BNB-USD,0.27,22566.04959,100356.1691
09-10-2023,Crypto,ETH,ETH-USD,0.068,137900.9005,366816.6687
09-10-2023,Crypto,DOGE,DOGE-USD,643.63,6.17393,18.1403258
09-10-2023,Crypto,SOLANA,SOL-USD,0.366,2870.91,17641.72696
09-10-2023,Crypto,AAVE,AAVE-USD,0.139,7478.30842,21227.07305
09-10-2023,Crypto,SHIB,SHIB-USD,3097924,0.000969307,0.000931897
09-10-2023,FixedDeposit,CASH,CASHFD,420000,1,1
28-10-2025,REIT,EMBASSY,EMBASSY.BO,88,391.82,434.09
28-10-2025,REIT,BROOKFIELDS,BIRET.BO,101,320.71,344.72
28-10-2025,REIT,NEXUS,NXST.BO,223,146.13,163.19
